City/Town,Ward,Pct,"Beth Pearce",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Vergennes,,,5,6,175,0,186
Vernon,,,0,36,260,0,296
Vershire,,,0,0,57,0,57
Victory,,,7,4,12,0,23
Waitsfield,,,4,8,178,0,190
Walden,,,3,4,100,0,107
Wallingford,,,2,3,156,0,161
Waltham,,,0,0,49,0,49
Wardsboro,,,0,1,43,0,44
Warren,,,1,5,116,0,122
Washington,,,0,4,112,0,116
Waterbury,,,9,8,426,7,450
Waterford,,,0,2,144,1,147
Waterville,,,1,1,72,0,74
Weathersfield,,,3,5,220,0,228
Wells,,,2,5,80,0,87
"W. Fairlee",,,0,3,30,0,33
"W. Haven",,,1,1,16,0,18
"W. Rutland",,,1,8,177,0,186
"W. Windsor",,,4,3,73,0,80
Westfield,,,2,6,48,0,56
Westford,,,3,2,184,1,190
Westminster,-,"Windham 3",1,6,0,7
Westminster,-,"Windham 4",8,92,0,102
Westmore,,,0,0,44,0,44
Weston,,,0,3,47,0,50
Weybridge,,,0,1,71,0,72
Wheelock,,,2,2,79,2,85
Whiting,,,0,4,24,1,29
Whitingham,-,"Windham 6",3,53,0,56
Whitingham,-,Windham-Bennington,0,4,0,4
Williamstown,,,72,21,266,0,359
Williston,,,4,8,834,16,862
Wilmington,,,1,4,90,0,95
Windham,,,0,0,15,0,15
Windsor,,,2,7,111,0,120
Winhall,,,6,0,74,2,82
Winooski,,,1,3,215,0,219
Wolcott,,,2,6,123,0,131
Woodbury,,,5,4,109,1,119
Woodford,,,1,1,9,0,11
Woodstock,,,0,8,176,0,184
Worcester,,,8,4,82,0,94
TOTALS,,,"1,467","1,559","42,794",574,0
