City/Town,Ward,Pct,"Thomas Burditt","Ronald ""Bushey"" Boucher",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,
Clarendon,,,193,165,9,147,0,514
Proctor,,,109,81,6,83,1,280
Tinmouth,,,2,5,0,5,0,12
Wallingford,,,99,122,0,100,1,322
"W. Rutland",,,156,119,4,93,0,372
TOTALS,,,559,492,19,428,2,"1,500"
