City/Town,Ward,Pct,"Michael Yantachka","Ed Stone","Robin Reid",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Independent
Charlotte,,,915,602,450,0,0,"1,967"
Hinesburg,,,41,37,9,0,0,87
TOTALS,,,956,639,459,0,0,"2,054"
