City/Town,Ward,Pct,"Chip Conquest","Robert Craig",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Groton,,,182,174,0,0,356
Newbury,,,496,324,0,0,820
Topsham,,,210,204,0,0,414
TOTALS,,,888,702,0,0,"1,590"
