City/Town,Ward,Pct,"Sarah E. Buxton","David M. Ainsworth",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Royalton,,,536,585,4,16,"1,141"
Tunbridge,,,346,296,1,8,651
TOTALS,,,882,881,5,24,"1,792"
