City/Town,Ward,Pct,"Carolyn Whitney Branagan","Gary Gilbert","Chris Santee","Bob Shea",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Republican,Independent
Fairfax,,,793,889,848,452,0,0,"2,982"
Georgia,,,"1,223",750,662,443,0,0,"3,078"
TOTALS,,,"2,016","1,639","1,510",895,0,0,"6,060"
