City/Town,Ward,Pct,"Janice L. Peaslee","Ed Clark",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Bloomfield,,,49,32,0,0,81
Brunswick,,,28,25,0,0,53
Concord,,,235,162,0,0,397
Granby,,,28,13,0,0,41
Guildhall,,,77,60,0,0,137
Kirby,,,108,95,0,0,203
Lunenburg,,,258,207,0,0,465
Maidstone,,,53,48,0,0,101
Victory,,,19,19,0,0,38
TOTALS,,,855,661,0,0,"1,516"
