City/Town,Ward,Pct,"John Bartholomew","Roy Moffitt",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Hartland,,,888,550,3,46,"1,487"
"W. Windsor",,,314,219,0,32,565
TOTALS,,,"1,202",769,3,78,"2,052"
