City/Town,Ward,Pct,"Sue Minter","Tom Stevens","Theresa Persons Wood","Tom Vickery",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Independent,Independent
Duxbury,,,397,273,294,150,2,158,"1,274"
Huntington,,,722,572,242,144,2,252,"1,934"
Waterbury,,,"1,426",968,"1,023",666,5,422,"4,510"
TOTALS,,,"2,545","1,813","1,559",960,9,832,"7,718"
