City/Town,Ward,Pct,"Mike Hebert","Richard Davis",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Guilford,,,229,638,2,9,878
Vernon,,,720,174,2,17,913
TOTALS,,,949,812,4,26,"1,791"
