City/Town,Ward,Pct,"William Canfield","Robert Helm",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican
Castleton,,,993,949,24,570,"2,536"
"Fair Haven",,,795,700,12,233,"1,740"
Hubbardton,,,207,189,3,142,541
"W. Haven",,,97,85,1,38,221
TOTALS,,,"2,092","1,923",40,983,"5,038"
