City/Town,Ward,Pct,"Gregory Clark","Diane Lanpher","Thelma Oxholm","Liz Markowski",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Republican,Democratic
Addison,,,402,302,324,156,0,0,"1,184"
Ferrisburgh,,,646,628,498,477,0,0,"2,249"
Panton,,,160,123,138,84,0,0,505
Vergennes,,,495,546,393,322,0,0,"1,756"
Waltham,,,106,145,89,96,0,0,436
TOTALS,,,"1,809","1,744","1,442","1,135",0,0,"6,130"
