City/Town,Ward,Pct,"Mitzi Johnson","Robert C. Krebs","Jay Purvis","David Light",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Alburgh,,,395,313,287,282,0,0,"1,277"
"Grand Isle",,,539,454,484,326,0,0,"1,803"
"Isle La Motte",,,139,99,99,99,0,0,436
Milton,,,243,185,280,230,0,0,938
"N. Hero",,,234,240,217,187,0,0,878
"S. Hero",,,521,568,435,200,0,0,"1,724"
TOTALS,,,"2,071","1,859","1,802","1,324",0,0,"7,056"
