City/Town,Ward,Pct,"Jim Masland","Margaret Cheney",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Norwich,,,"1,325","1,487",8,710,"3,530"
Sharon,,,363,370,7,331,"1,071"
Strafford,,,417,403,10,305,"1,135"
Thetford,,,920,762,19,664,"2,365"
TOTALS,,,"3,025","3,022",44,"2,010","8,101"
