City/Town,Ward,Pct,"Jeb Spaulding","Don Schramm","Murray Ngoima",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,Progressive,"Liberty Union"
Williamstown,,,"1,086",64,15,1,50,"1,216"
Williston,,,"3,607",214,39,12,350,"4,222"
Wilmington,,,605,74,27,1,64,771
Windham,,,135,22,5,0,12,174
Windsor,,,898,88,33,1,66,"1,086"
Winhall,,,316,39,8,0,44,407
Winooski,,,"1,478",232,27,3,159,"1,899"
Wolcott,,,589,40,11,1,42,683
Woodbury,,,380,38,5,1,31,455
Woodford,,,120,11,9,1,13,154
Woodstock,,,"1,217",72,135,0,116,"1,540"
Worcester,,,393,39,16,1,25,474
TOTALS,,,"204,048","17,332","4,832",328,"10,481","237,021"
