City/Town,Ward,Pct,"Kathleen C. Keenan","Dustin Allard Degree","Jeff Young","Newell H. Decker",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Democratic,Republican
"St. Albans City",,,"1,025",968,725,686,0,0,"3,404"
TOTALS,,,"1,025",968,725,686,0,0,"3,404"
