City/Town,Ward,Pct,"Alison H. Clarkson",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Reading,,,292,5,57,354
Woodstock,,,"1,283",36,216,"1,535"
TOTALS,,,"1,575",41,273,"1,889"
