City/Town,Ward,Pct,"Mark B. Mitchell",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Barnard,,,325,13,98,436
Hartford,,,570,41,200,811
Pomfret,,,352,10,110,472
TOTALS,,,"1,247",64,408,"1,719"
