City/Town,Ward,Pct,"Oliver K. Olsen","Claire Trask",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Jamaica,,,259,117,0,6,382
Londonderry,,,440,262,2,6,710
Stratton,,,79,20,0,1,100
Weston,,,196,140,0,8,344
Winhall,,,267,117,0,23,407
TOTALS,,,"1,241",656,2,44,"1,943"
