City/Town,Ward,Pct,"James Eckhardt","Megan Smith",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Bridgewater,,,247,133,0,9,389
Chittenden,,,316,246,1,17,580
Killington,,,271,191,1,8,471
Mendon,,,293,195,0,9,497
TOTALS,,,"1,127",765,2,43,"1,937"
