City/Town,Ward,Pct,"Richard Mazza",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican
Colchester,-,"Chittenden 7-1","2,283",0,0,"2,283"
Colchester,-,"Chittenden 7-2","2,781",0,0,"2,781"
"Grand Isle",,,899,0,0,899
"Isle La Motte",,,231,0,0,231
"N. Hero",,,433,0,0,433
"S. Hero",,,865,0,0,865
TOTALS,,,"7,492",0,0,"7,492"
