City/Town,Ward,Pct,"John W. Malcolm","Ashley D. Waite",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
"Middletown Springs",,,216,164,1,15,396
Pawlet,,,325,234,0,5,564
Rupert,,,137,100,0,4,241
Wells,,,158,225,0,0,383
TOTALS,,,836,723,1,24,"1,584"
