City/Town,Ward,Pct,"Michael Fisher","Dave Sharpe","Fred K. Baser","John Heffernan",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Bristol,,,721,673,813,711,0,0,"2,918"
Lincoln,,,433,362,251,222,0,0,"1,268"
Monkton,,,508,484,341,314,0,0,"1,647"
Starksboro,,,422,374,259,227,0,0,"1,282"
TOTALS,,,"2,084","1,893","1,664","1,474",0,0,"7,115"
