City/Town,Ward,Pct,"Ernest W. Shand","Jeff Whittemore",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Cavendish,,,277,242,0,14,533
Weathersfield,,,615,432,1,21,"1,069"
TOTALS,,,892,674,1,35,"1,602"
