City/Town,Ward,Pct,"Patti J. Lewis","Marvin Malek",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Progressive
"Barre City",,,105,110,0,13,228
Berlin,,,575,495,3,41,"1,114"
TOTALS,,,680,605,3,54,"1,342"
