City/Town,Ward,Pct,"Mike Mrowicki","David L. Deen",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Dummerston,,,705,710,6,473,"1,894"
Putney,,,926,802,13,435,"2,176"
Westminster,,,868,975,17,624,"2,484"
TOTALS,,,"2,499","2,487",36,"1,532","6,554"
