City/Town,Ward,Pct,"Brian K. Savage","Michel Consejo","Marianna Gamache","Gregory Gervais",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Republican,Democratic
Sheldon,,,272,388,194,254,0,0,"1,108"
Swanton,,,"1,182",836,783,701,0,0,"3,502"
TOTALS,,,"1,454","1,224",977,955,0,0,"4,610"
