City/Town,Ward,Pct,"Lucy Leriche","Nicole F. Ling",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Hardwick,,,835,300,0,0,"1,135"
Stannard,,,59,20,0,0,79
Walden,,,299,151,0,0,450
TOTALS,,,"1,193",471,0,0,"1,664"
