City/Town,Ward,Pct,"Dave Potter","Tom Burditt","Richard Norris","Tony Morgan",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Republican,Democratic
Clarendon,,,485,499,434,232,0,0,"1,650"
Ira,,,97,68,55,79,0,0,299
Proctor,,,308,204,370,218,0,0,"1,100"
"W. Rutland",,,300,366,251,325,0,0,"1,242"
TOTALS,,,"1,190","1,137","1,110",854,0,0,"4,291"
