City/Town,Ward,Pct,"Clement Bissonnette","Kenneth W. Atkins",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Burlington,,,291,299,0,0,590
Winooski,,,"1,393","1,329",0,0,"2,722"
TOTALS,,,"1,684","1,628",0,0,"3,312"
