City/Town,Ward,Pct,"Leigh J. Dakin",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Andover,,,182,6,45,233
Baltimore,,,59,2,25,86
Chester,,,989,43,189,"1,221"
Springfield,,,30,1,9,40
TOTALS,,,"1,260",52,268,"1,580"
