City/Town,Ward,Pct,"Harvey Smith","Spencer C. Putnam",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Bridport,,,336,212,0,0,548
"New Haven",,,498,340,0,0,838
Weybridge,,,169,291,0,0,460
TOTALS,,,"1,003",843,0,0,"1,846"
