City/Town,Ward,Pct,"Cynthia Browning","Carlynann Ackermann",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Arlington,,,583,408,0,0,991
Rupert,,,22,18,0,0,40
Sandgate,,,97,62,0,0,159
Sunderland,,,200,160,0,0,360
TOTALS,,,902,648,0,0,"1,550"
