City/Town,Ward,Pct,"Richard J. Marek","Gaila S. Gulack",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Marlboro,,,366,77,0,30,473
Newfane,,,584,198,3,29,814
Townshend,,,308,172,0,30,510
TOTALS,,,"1,258",447,3,89,"1,797"
