City/Town,Ward,Pct,"Patti Komline",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Danby,,,378,3,153,534
Dorset,,,767,10,147,924
Landgrove,,,65,2,25,92
"Mount Tabor",,,54,0,6,60
Peru,,,117,3,28,148
TOTALS,,,"1,381",18,359,"1,758"
