City/Town,Ward,Pct,"Herb Font-Russell","Carl J. Haas",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
"Rutland City",,,454,437,2,24,917
TOTALS,,,454,437,2,24,917
