City/Town,Ward,Pct,"Joan G. Lenes","Robert J. Lake",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Shelburne,,,944,727,0,0,"1,671"
"St. George",,,147,106,0,0,253
TOTALS,,,"1,091",833,0,0,"1,924"
