City/Town,Ward,Pct,"Dennis J. Devereux","Brigid E. Faenza",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Ludlow,,,544,345,5,17,911
"Mount Holly",,,385,232,0,9,626
Plymouth,,,149,108,1,10,268
TOTALS,,,"1,078",685,6,36,"1,805"
