City/Town,Ward,Pct,"Michael J. Marcotte","Duncan Kilmartin",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican
Coventry,,,316,240,16,184,756
Irasburg,,,344,232,51,229,856
"Newport City",,,982,832,177,521,"2,512"
"Newport Town",,,401,325,33,279,"1,038"
TOTALS,,,"2,043","1,629",277,"1,213","5,162"
