City/Town,Ward,Pct,"Howard Crawford","Richard Lawrence",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican
Burke,,,492,427,12,275,"1,206"
Lyndon,,,"1,267","1,295",24,764,"3,350"
Sutton,,,256,265,5,143,669
TOTALS,,,"2,015","1,987",41,"1,182","5,225"
