City/Town,Ward,Pct,"Maxine Grad","Anne B. Donahue",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Moretown,,,639,519,11,514,"1,683"
Northfield,,,"1,123","1,251",28,"1,010","3,412"
Roxbury,,,191,177,8,180,556
TOTALS,,,"1,953","1,947",47,"1,704","5,651"
