City/Town,Ward,Pct,"Sandy Haas","Richard W. Bryfogle",Write-Ins,Blanks,"Total Votes Cast"
,,,Progressive,Republican
Bethel,,,397,386,0,18,801
Pittsfield,,,103,130,0,2,235
Rochester,,,346,219,1,13,579
Stockbridge,,,158,161,0,14,333
TOTALS,,,"1,004",896,1,47,"1,948"
