City/Town,Ward,Pct,"Martha Heath","James Weston",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Essex,,,624,532,0,0,"1,156"
Westford,,,532,491,0,0,"1,023"
TOTALS,,,"1,156","1,023",0,0,"2,179"
