City/Town,Ward,Pct,"Kitty Beattie Toll","Bruce Melendy",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Cabot,,,400,200,0,0,600
Danville,,,543,493,0,0,"1,036"
Peacham,,,267,139,0,0,406
TOTALS,,,"1,210",832,0,0,"2,042"
