City/Town,Ward,Pct,"Sarah Copeland Hanzas","Mary Daly",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bradford,,,566,387,0,0,953
Fairlee,,,228,154,0,0,382
"W. Fairlee",,,125,84,0,0,209
TOTALS,,,919,625,0,0,"1,544"
