City/Town,Ward,Pct,"Patsy French","Larry Townsend","James Sault","Stewart Skrill",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Braintree,,,269,248,228,144,0,0,889
Brookfield,,,330,292,233,187,0,0,"1,042"
Granville,,,86,77,28,28,0,0,219
Randolph,,,"1,068",950,786,510,0,0,"3,314"
TOTALS,,,"1,753","1,567","1,275",869,0,0,"5,464"
