City/Town,Ward,Pct,"Ann Manwaring",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Halifax,,,235,7,64,306
Whitingham,,,303,10,104,417
Wilmington,,,620,13,126,759
TOTALS,,,"1,158",30,294,"1,482"
