City/Town,Ward,Pct,"Adam Greshin","Mac Rood",Write-Ins,Blanks,"Total Votes Cast"
,,,Independent,Democratic
Fayston,,,364,242,1,25,632
Waitsfield,,,516,363,2,15,896
Warren,,,438,382,3,18,841
TOTALS,,,"1,318",987,6,58,"2,369"
