City/Town,Ward,Pct,"William F. Johnson",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Brighton,,,400,11,59,470
Canaan,,,291,1,20,312
"E. Haven",,,101,0,27,128
Lemington,,,39,0,0,39
Newark,,,189,3,31,223
Norton,,,66,1,6,73
Westmore,,,129,4,44,177
TOTALS,,,"1,215",20,187,"1,422"
