City/Town,Ward,Pct,"Janet Ancel","Marion B. Gray",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Calais,,,576,254,1,31,862
Marshfield,,,443,289,2,15,749
Plainfield,,,401,185,0,20,606
TOTALS,,,"1,420",728,3,66,"2,217"
