City/Town,Ward,Pct,"Andy Donaghy",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Ira,,,21,0,5,26
Poultney,,,828,40,188,"1,056"
TOTALS,,,849,40,193,"1,082"
