City/Town,Ward,Pct,"Michael J. Obuchowski","Carolyn W. Partridge","Christopher Moore",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Independent
Athens,,,69,58,52,1,40,220
Brookline,,,137,145,57,0,73,412
Grafton,,,171,131,157,2,151,612
Rockingham,,,"1,214",903,732,11,552,"3,412"
Westminster,,,50,35,25,2,18,130
Windham,,,107,136,43,2,60,348
TOTALS,,,"1,748","1,408","1,066",18,894,"5,134"
