City/Town,Ward,Pct,"Tony Klein",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
"E. Montpelier",,,"1,069",46,215,"1,330"
Middlesex,,,726,18,156,900
TOTALS,,,"1,795",64,371,"2,230"
