City/Town,Ward,Pct,"Leigh B. Larocque","Gary P. Allard",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Barnet,,,405,340,0,0,745
Ryegate,,,222,204,0,0,426
Waterford,,,296,254,0,0,550
TOTALS,,,923,798,0,0,"1,721"
