City/Town,Ward,Pct,"Eldred French","Nelson J. Tift",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Shrewsbury,,,371,148,1,21,541
Tinmouth,,,148,107,1,4,260
Wallingford,,,466,454,1,17,938
TOTALS,,,985,709,3,42,"1,739"
