City/Town,Ward,Pct,"Shap Smith","Peter Peltz",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Elmore,,,342,310,0,0,652
Morristown,,,"1,484","1,123",0,0,"2,607"
Woodbury,,,271,355,0,0,626
Worcester,,,345,341,0,0,686
TOTALS,,,"2,442","2,129",0,0,"4,571"
