City/Town,Ward,Pct,"Norman H. McAllister","Albert Pearce",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican
Berkshire,,,345,351,7,185,888
Franklin,,,404,311,11,274,"1,000"
Highgate,,,860,573,6,583,"2,022"
Richford,,,410,510,9,272,"1,201"
TOTALS,,,"2,019","1,745",33,"1,314","5,111"
