City/Town,Ward,Pct,"Linda J. Martin","Lucien G. Gravel",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
"Hyde Park",,,601,552,0,0,"1,153"
Wolcott,,,364,309,0,0,673
TOTALS,,,965,861,0,0,"1,826"
