City/Town,Ward,Pct,"George Till","Bill Frank","Brad Holden",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Independent
Bolton,,,304,322,149,0,0,775
Jericho,,,"1,808","1,516",722,0,0,"4,046"
Underhill,,,858,986,666,0,0,"2,510"
TOTALS,,,"2,970","2,824","1,537",0,0,"7,331"
