City/Town,Ward,Pct,"Charles Shaw",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Pittsford,,,"1,087",13,86,"1,186"
Sudbury,,,215,0,54,269
TOTALS,,,"1,302",13,140,"1,455"
