City/Town,Ward,Pct,"Mark Higley","June Horak Rosenberg",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Jay,,,82,72,0,0,154
Lowell,,,215,82,0,0,297
Montgomery,,,213,254,0,0,467
Troy,,,244,184,0,0,428
Westfield,,,130,92,0,0,222
TOTALS,,,884,684,0,0,"1,568"
