City/Town,Ward,Pct,"Betty M. Bolognani",Write-Ins,Blanks,"Total Votes Cast"
,,,
Dover,,,24,1,19,44
Readsboro,,,49,2,4,55
Searsburg,,,2,4,0,6
Stamford,,,46,0,5,51
Wardsboro,,,48,2,17,67
TOTALS,,,169,9,45,223
