City/Town,Ward,Pct,"George Bilodeau","Marcheta Townsend",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Fairfax,,,81,98,9,78,266
Georgia,,,74,46,5,49,174
TOTALS,,,155,144,14,127,440
