City/Town,Ward,Pct,"Johannah Leddy Donovan","Bill Keogh","Susan Wheeler",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Burlington,-,"Bed Ward 5",301,257,164,0,38,760
Burlington,-,"Edmunds Ward 6",209,140,182,1,26,558
TOTALS,,,510,397,346,1,64,"1,318"
